url	download_complete
www.signalprocessingsociety.org?utm_source=ms-smap&utm_campaign=sps&utm_medium=lp&utm_term=SPS	complete
ieeeauthorcenter.ieee.org?WT.mc_id=mor_aut_i	complete
www.ieee.org/site_terms_conditions.html	complete
www.trynano.org	complete
www.ieee.org/sitemap.html	complete
give.uci.edu/UCIFund/Chancellors-Club/Membership-Levels.php	complete
ieeexplore.ieee.org/document/7337368	complete
journals.ieeeauthorcenter.ieee.org	complete
smartcities.ieee.org?utm_source=ms-smap&utm_campaign=smart-cities&utm_medium=lp&utm_term=smart%20cities	complete
www.ieee.org	incomplete
engage.alumni.uci.edu/s/1735/alumni/index1col.aspx?sid=1735&gid=2&pgid=94&cid=256	incomplete
ias.ieee.org	incomplete
www.techstreet.com/ieee?utm_source=ms-smap&utm_medium=lp&utm_campaign=standards-techstreet&utm_term=standards%20techstreet	incomplete
www.uci.edu/campusmap	incomplete
environmental.ieee.org?utm_source=ms-smap&utm_campaign=environmental&utm_medium=lp&utm_term=%20environmental%20%20engineering	incomplete
www.ieee.org/about/corporate/governance/p9-26.html	incomplete
publication-recommender.ieee.org/home?utm_source=ms-smap&utm_campaign=publication-recommender&utm_medium=lp&utm_term=publication-recommender	incomplete
news.uci.edu	incomplete
give.uci.edu/UCIFund/About.php	incomplete
bigdata.ieee.org?utm_source=ms-smap&utm_campaign=big-data&utm_medium=lp&utm_term=big%20data	incomplete
policy.ucop.edu/doc/7020469/BFB-RMP-12	incomplete
www.oit.uci.edu/contact-us	incomplete
www.uci.edu/cgi-bin/phonebook	incomplete
ieeeauthorcenter.ieee.org?utm_source=mm_wdw&utm_campaign=author_tools&utm_medium=pubs&utm_term=author%2520digital%2520tools	incomplete
ias.ieee.org?utm_source=ms-smap&utm_campaign=ias&utm_medium=lp&utm_term=Industry%20Applications	incomplete
engage.alumni.uci.edu/s/1735/alumni/index.aspx?sid=1735&gid=2&pgid=106&cid=283	incomplete
psearch.ics.uci.edu	incomplete
brain.ieee.org?utm_source=ms-smap&utm_campaign=brain&utm_medium=lp&utm_term=brain	incomplete
www.theinstitute.ieee.org?utm_source=ms-smap&utm_medium=lp&utm_campaign=institute&utm_term=institute	incomplete
globalpolicy.ieee.org?utm_source=ms-smap&utm_medium=lp&utm_campaign=global-public-policy&utm_term=global%20public%20policy	incomplete
www.ieee-uffc.org?utm_source=ms-smap&utm_campaign=uffc&utm_medium=lp&utm_term=UFFC	incomplete
www.ieee.org/security_privacy.html	incomplete
www.ieeesmc.org	incomplete
alumni.uci.edu/career/index.php	incomplete
www.stat.uci.edu	complete
www.ics.uci.edu	complete
www.addthis.com/bookmark.php	incomplete
graphicsqc.ieee.org	incomplete
ieee-ims.org?utm_source=ms-smap&utm_campaign=ims&utm_medium=lp&utm_term=IMS	incomplete
techethics.ieee.org?utm_source=ms-smap&utm_campaign=tech-ethics&utm_medium=lp&utm_term=tech%20ethics	incomplete
www.standardsuniversity.org?utm_source=ms-smap&utm_campaign=stds-univ&utm_medium=lp&utm_term=standards%20university	incomplete
www.ieee.org/societies_communities/geo_activities/operations_manual/index.html?utm_source=wdw&utm_campaign=mga_ops_man&utm_medium=com&utm_term=MGA%20ops%20manual	incomplete
www.ics.uci.edu/~smyth/courses/cs175	incomplete
innovationatwork.ieee.org?utm_source=ms-smap&utm_medium=lp&utm_campaign=innovation-at-work&utm_term=innovation%20at%20work	incomplete
engage.alumni.uci.edu/s/1735/alumni/index.aspx?sid=1735&gid=2&pgid=94&cid=256	incomplete
rs.ieee.org?utm_source=ms-smap&utm_campaign=rs&utm_medium=lp&utm_term=Reliability	incomplete
addthis.com/bookmark.php?v=250&username=ieee	incomplete
electronics360.globalspec.com	incomplete
www.computer.org/portal/site/ieeecs/index.jsp?utm_source=ms-smap&utm_campaign=computer&utm_medium=lp&utm_term=Computer	incomplete
journals.ieeeauthorcenter.ieee.org/become-an-ieee-journal-author/author-education-resources	incomplete
www.ieee.org/publications_standards/publications/authors/author_templates.html?utm_source=mm_wdw&utm_campaign=templates&utm_medium=pubs&utm_term=author%20templates	incomplete
ieee-aess.org?utm_source=ms-smap&utm_campaign=aess&utm_medium=lp&utm_term=AESS	incomplete
engage.alumni.uci.edu/s/1735/alumni/index1col.aspx?sid=1735&gid=2	incomplete
engage.alumni.uci.edu/s/1735/alumni/index.aspx?sid=1735&gid=2&pgid=2160&cid=6285&post_id=0	incomplete
spectrum.ieee.org	incomplete
careers.ieee.org/terms/eterms.php	incomplete
www.comsoc.org	incomplete
bit.ly/1tmdpP7?utm_source=ms-smap&utm_campaign=globalspec&utm_medium=hp&utm_term=globalspec	incomplete
www.ieeeday.org	incomplete
connect.uci.edu/donate	complete
sites.ieee.org/r6	incomplete
www.ieee.org/publications_standards/publications/authors/author_education?utm_source=mm_wdw&utm_campaign=author_ed&utm_medium=pubs&utm_term=author%20education	incomplete
innovate.ieee.org?utm_source=mm_link&utm_campaign=lp&utm_medium=pubs&utm_term=innovate%20subscription%20options	incomplete
sites.ieee.org/r9	incomplete
uci.bncollege.com/webapp/wcs/stores/servlet/ProductSearchCommand?displayImage=N&catalogId=10001&langId=-1&storeId=88256&extSearchEnabled=G&search=alumni	incomplete
ucirvine.imodules.com/s/1735/alumni/index1col.aspx?sid=1735&gid=2&pgid=427	incomplete
sites.ieee.org/r1	incomplete
collabratec.ieee.org?utm_source=mm_link&utm_campaign=coll&utm_medium=ms&utm_term=collabratec	incomplete
www.ieeemagnetics.org?utm_source=ms-smap&utm_campaign=magnetics&utm_medium=lp&utm_term=Magnetics	incomplete
standards.ieee.org/develop/index.html?utm_source=mm_link&utm_campaign=faw&utm_medium=std&utm_term=develop%20standards%2C%20find%20working%20group	incomplete
www.cs.uci.edu	incomplete
www.ieee.org/sitemap	incomplete
alumni.uci.edu/about/staff.php	incomplete
cesoc.ieee.org?utm_source=ms-smap&utm_campaign=cesoc&utm_medium=lp&utm_term=cesoc	incomplete
journals.ieeeauthorcenter.ieee.org/create-your-ieee-article/use-authoring-tools-and-ieee-article-templates/about-ieee-author-tools	incomplete
engage.alumni.uci.edu?sid=1735&gid=2&pgid=3075&cid=7875&ecid=7875&crid=0&calpgid=427&calcid=1085	incomplete
ieeeaccess.ieee.org	incomplete
alumni.uci.edu/membership/index.php	complete
www.datasheets360.com	incomplete
sight.ieee.org?utm_source=ms-smap&utm_campaign=sight&utm_medium=lp&utm_term=sight	incomplete
datascience.uci.edu	incomplete
youtube.com/UCIBrenICS	complete
www.globalspec.com	incomplete
ieeexplore.ieee.org/Xplore/guesthome.jsp?utm_source=mm_link&utm_campaign=vix&utm_medium=pubs&utm_term=Xplore%20guest	incomplete
www.ieeeaps.org?utm_source=ms-smap&utm_campaign=aps&utm_medium=lp&utm_term=APS	incomplete
ieeexplore.ieee.org?utm_source=mm_wdw&utm_campaign=xplore&utm_medium=pubs&utm_term=xplore	incomplete
maps-nsf.uci.edu	incomplete
youtube.com/ucifuture	incomplete
www.ieee.org/nondiscrimination	incomplete
www.ieee-sensors.org?utm_source=ms-smap&utm_campaign=sensors&utm_medium=lp&utm_term=Sensors	incomplete
ieeeauthorcenter.ieee.org?utm_source=ms-smap&utm_campaign=author-center&utm_medium=lp&utm_term=author-center	incomplete
uci.edu	incomplete
annualreport.ieee.org	incomplete
www.ieee.org/membership_services/membership/join/mgm.html?utm_source=mm_wdw&utm_campaign=mgm&utm_medium=ms&utm_term=mgm%2C%20member-get-a-member	incomplete
www.mtt.org?utm_source=ms-smap&utm_campaign=mtt&utm_medium=lp&utm_term=Microwave%20Theory	incomplete
www.ics.uci.edu/~smyth	complete
give.uci.edu/give/index.php	incomplete
www.theinstitute.ieee.org?utm_source=mm_link&utm_campaign=inst&utm_medium=pubs&utm_term=institute%20home	incomplete
standards.ieee.org/about/index.html?utm_source=mm_wdw&utm_campaign=std_info&utm_medium=std&utm_term=standards%20association%20info	incomplete
resourcecenter.smartcities.ieee.org	incomplete
www.ieeemce.org?utm_source=mm_wdw&utm_campaign=ben_pub&utm_medium=conf&utm_term=benefits_publishing	incomplete
www.tryengineering.org?utm_source=ms-smap&utm_medium=lp&utm_campaign=tryengineering&utm_term=tryengineering	incomplete
www.trycomputing.org?utm_source=ms-smap&utm_medium=lp&utm_campaign=trycomputing&utm_term=trycomputing	incomplete
www.emcs.org?utm_source=ms-smap&utm_campaign=emcs&utm_medium=lp&utm_term=EMCS	incomplete
ieeespectrumreprints.magreprints.com/   	incomplete
ieeeauthorcenter.ieee.org/your-responsibilities-and-rights	incomplete
www.ieee.org/web/aboutus/whatis/policies/p9-26.html	incomplete
engage.alumni.uci.edu/s/1735/alumni/index.aspx?sid=1735&gid=2&pgid=3055&cid=7847&ecid=7847&crid=0&calpgid=427&calcid=1085	incomplete
careers.ieee.org/terms/memterms.php	incomplete
www.ieeetmc.org?utm_source=ms-smap&utm_campaign=tmc&utm_medium=lp&utm_term=TMC	incomplete
ieeemce.org	incomplete
www.stat.uci.edu/seminar-series	incomplete
ewh.ieee.org/reg/2	incomplete
ieeexplore.ieee.org/courses/home?utm_source=ms-smap&utm_medium=lp&utm_campaign=xplore-courses&utm_term=xplore%20courses	incomplete
www.ieeesystemscouncil.org?utm_source=ms-smap&utm_campaign=systems&utm_medium=lp&utm_term=Systems	incomplete
www.chancellor.uci.edu	incomplete
directory.uci.edu/index.php?uid=TBD	incomplete
today.uci.edu	incomplete
journals.ieeeauthorcenter.ieee.org/create-your-ieee-article/use-authoring-tools-and-ieee-article-templates/ieee-article-templates	incomplete
www.ieee.org/conferences_events/index.html	incomplete
careers.ieee.org	incomplete
standards.ieee.org/about/nesc/index.html?utm_source=mm_wdw&utm_campaign=nesc&utm_medium=std&utm_term=nesc	incomplete
intra.uadv.uci.edu	complete
publication-recommender.ieee.org/periodicals	incomplete
grouper.ieee.org/groups/index.html?utm_source=mm_link&utm_campaign=swg&utm_medium=com&utm_term=working%20groups	incomplete
homecoming.uci.edu	incomplete
beyondstandards.ieee.org?utm_source=ms-smap&utm_campaign=beyond-standards&utm_medium=lp&utm_term=beyond%20standards	incomplete
advancement.uci.edu/about/careers.php	incomplete
www.ieee.org/education_careers/index.html	incomplete
www.webstandards.org/upgrade	incomplete
cml.ics.uci.edu	incomplete
alumni.uci.edu/saa/index.php	incomplete
innovationatwork.ieee.org?WT.mc_id=mor_inn_i	incomplete
www.techstreet.com/ieee?utm_source=mm_link&utm_campaign=techstreet&utm_medium=std&utm_term=buy%20standards%2C%20techstreet	incomplete
engage.alumni.uci.edu?sid=1735&gid=2&pgid=3079&cid=7882&ecid=7882&crid=0&calpgid=427&calcid=1085	incomplete
greenict.ieee.org?utm_source=ms-smap&utm_campaign=green-ict&utm_medium=lp&utm_term=green%20ict	incomplete
alumni.uci.edu/news/index.php	complete
reach.ieee.org?utm_source=ms-smap&utm_campaign=reach&utm_medium=lp&utm_term=reach	incomplete
alumni.uci.edu/about/index.php	incomplete
proceedingsoftheieee.ieee.org?utm_source=ms-smap&utm_campaign=proceedings&utm_medium=lp&utm_term=proceedings	incomplete
retirees.uci.edu	incomplete
connect.uci.edu/s/1735/interior2.aspx?pgid=603&gid=3	incomplete
pcs.ieee.org?utm_source=ms-smap&utm_campaign=pcs&utm_medium=lp&utm_term=PCS	incomplete
www.ieee.org/societies_communities/index.html	incomplete
www.ieeer8.org	incomplete
alumni.uci.edu/seniors/index.php	incomplete
directory.uci.edu/index.php?uid=sgulesse	incomplete
communications.uci.edu/magazine	incomplete
advancement.uci.edu/about/index.php	incomplete
ethw.org?utm_source=ms-smap&utm_medium=lp&utm_campaign=ethw&utm_term=ethw	incomplete
www.trynano.org/lang/korean	incomplete
www.ieee-pes.org?utm_source=ms-smap&utm_campaign=pes&utm_medium=lp&utm_term=PES	incomplete
www.ucifoundation.org	incomplete
eleccomm.ieee.org?utm_source=mm_wdw&utm_campaign=eleccomm&utm_medium=ms&utm_term=member%20email	incomplete
connect.uci.edu/s/1735/interior-1col.aspx?sid=1735&gid=3&pgid=3&cid=40&returnUrl=https%3a%2f%2fsecure.connect.uci.edu%2fs%2f1735%2finterior-1col.aspx%3fsid%3d1735%26gid%3d3%26pgid%3d801%26dids%3d79	incomplete
alumni.uci.edu/give/index.php	incomplete
advertise.ieee.org	incomplete
www.ieee.org/about/index.html	incomplete
intranet.ics.uci.edu	incomplete
give.uci.edu	complete
www.accreditation.org	incomplete
jobs.ieee.org/jobs/search/results?locationType=text&category%255B0%255D=signal_processing&view=List_Detail&sort=score+desc&rows=15	incomplete
www.ics.uci.edu/~smyth/courses/cs274	incomplete
ieeexplore.ieee.org	incomplete
www.icsgistanbul.com/en?page_id=3864	incomplete
